iter	Passed	Remaining
0	3	3227
1	6	3157
2	10	3344
3	12	3199
4	15	3048
5	19	3182
6	21	3056
7	24	2981
8	27	2979
9	29	2922
10	32	2886
11	34	2839
12	36	2797
13	39	2784
14	42	2820
15	46	2867
16	49	2840
17	51	2804
18	53	2784
19	56	2780
20	59	2787
21	63	2807
22	65	2790
23	68	2775
24	71	2771
25	74	2786
26	77	2787
27	80	2778
28	82	2757
29	84	2745
30	87	2745
31	91	2754
32	95	2785
33	97	2768
34	100	2757
35	102	2753
36	105	2755
37	108	2738
38	110	2721
39	112	2706
40	115	2696
41	118	2692
42	120	2689
43	124	2715
44	127	2702
45	129	2688
46	132	2680
47	134	2669
48	137	2675
49	139	2644
50	141	2632
51	142	2606
52	145	2595
53	148	2594
54	150	2588
55	153	2587
56	156	2582
57	158	2581
58	162	2599
59	165	2590
60	167	2571
61	171	2593
62	173	2587
63	176	2577
64	178	2567
65	180	2558
66	183	2554
67	186	2560
68	190	2576
69	193	2574
70	196	2568
71	198	2561
72	202	2568
73	204	2558
74	206	2552
75	209	2548
76	212	2541
77	214	2535
78	218	2546
79	220	2540
80	223	2533
81	225	2526
82	228	2520
83	230	2513
84	233	2518
85	236	2513
86	239	2508
87	241	2502
88	243	2496
89	246	2489
90	248	2485
91	251	2479
92	253	2474
93	256	2469
94	258	2464
95	261	2457
96	263	2452
97	265	2447
98	268	2442
99	270	2438
100	273	2433
101	275	2427
102	278	2425
103	282	2431
104	285	2429
105	288	2431
106	291	2433
107	313	2585
108	326	2665
109	339	2747
110	350	2803
111	360	2856
112	372	2923
113	379	2950
114	386	2974
115	393	2998
116	400	3024
117	407	3048
118	415	3072
119	420	3081
120	425	3087
121	429	3091
122	433	3093
123	437	3090
124	441	3092
125	445	3091
126	449	3086
127	451	3078
128	454	3070
129	458	3065
130	461	3059
131	463	3050
132	466	3038
133	468	3030
134	471	3022
135	475	3018
136	477	3010
137	481	3005
138	483	2994
139	485	2984
140	488	2977
141	491	2972
142	495	2970
143	498	2960
144	500	2953
145	503	2942
146	506	2937
147	509	2933
148	512	2924
149	514	2915
150	517	2907
151	519	2898
152	522	2894
153	526	2890
154	528	2881
155	531	2873
156	533	2865
157	536	2858
158	540	2858
159	542	2849
160	545	2840
161	547	2833
162	550	2825
163	553	2819
164	556	2815
165	558	2806
166	561	2798
167	563	2790
168	565	2782
169	569	2779
170	572	2773
171	574	2766
172	577	2759
173	579	2752
174	582	2744
175	585	2742
176	588	2737
177	591	2732
178	593	2723
179	596	2715
180	598	2707
181	602	2708
182	604	2700
183	607	2694
184	610	2687
185	612	2680
186	614	2672
187	618	2669
188	620	2664
189	623	2657
190	625	2649
191	627	2642
192	630	2634
193	633	2633
194	636	2626
195	638	2620
196	641	2612
197	643	2605
198	645	2598
199	649	2596
200	652	2593
201	655	2589
202	657	2581
203	659	2574
204	662	2567
205	665	2564
206	667	2558
207	670	2552
208	672	2545
209	674	2538
210	677	2534
211	680	2531
212	684	2527
213	686	2522
214	689	2516
215	691	2510
216	693	2503
217	697	2500
218	700	2497
219	702	2491
220	704	2484
221	707	2479
222	710	2475
223	713	2473
224	716	2466
225	718	2461
226	720	2455
227	723	2449
228	725	2443
229	729	2441
230	731	2435
231	733	2429
232	736	2424
233	738	2418
234	741	2413
235	744	2409
236	747	2405
237	749	2399
238	751	2393
239	754	2388
240	756	2382
241	759	2377
242	762	2374
243	764	2368
244	766	2363
245	769	2357
246	771	2351
247	773	2346
248	777	2344
249	779	2338
250	782	2333
251	784	2328
252	786	2323
253	789	2317
254	791	2313
255	794	2309
256	797	2306
257	800	2301
258	802	2296
259	805	2291
260	807	2287
261	810	2282
262	812	2277
263	814	2272
264	817	2267
265	819	2261
266	821	2256
267	825	2253
268	827	2249
269	830	2244
270	832	2239
271	834	2234
272	837	2229
273	841	2229
274	843	2225
275	846	2219
276	848	2215
277	851	2211
278	854	2208
279	858	2206
280	860	2202
281	863	2198
282	866	2194
283	869	2190
284	872	2189
285	875	2186
286	878	2183
287	882	2180
288	884	2176
289	887	2173
290	890	2169
291	893	2166
292	896	2162
293	898	2157
294	900	2152
295	903	2148
296	906	2145
297	908	2140
298	911	2136
299	913	2131
300	915	2127
301	918	2122
302	921	2119
303	923	2115
304	926	2110
305	928	2106
306	931	2101
307	933	2098
308	937	2096
309	939	2091
310	942	2087
311	944	2082
312	947	2078
313	949	2074
314	952	2071
315	954	2067
316	957	2062
317	959	2057
318	962	2053
319	964	2049
320	967	2046
321	970	2042
322	972	2038
323	974	2033
324	976	2029
325	979	2024
326	982	2021
327	985	2019
328	988	2015
329	990	2011
330	992	2006
331	995	2002
332	997	1998
333	1000	1995
334	1004	1993
335	1006	1989
336	1009	1986
337	1011	1982
338	1014	1978
339	1017	1975
340	1019	1971
341	1022	1966
342	1024	1962
343	1027	1958
344	1029	1954
345	1033	1952
346	1035	1948
347	1037	1944
348	1040	1940
349	1042	1936
350	1044	1932
351	1048	1929
352	1050	1925
353	1053	1921
354	1055	1917
355	1057	1913
356	1060	1909
357	1062	1905
358	1065	1902
359	1067	1898
360	1070	1894
361	1072	1890
362	1074	1886
363	1077	1882
364	1081	1880
365	1083	1876
366	1085	1872
367	1087	1868
368	1090	1864
369	1092	1860
370	1095	1857
371	1099	1856
372	1102	1852
373	1104	1848
374	1106	1844
375	1109	1840
376	1112	1838
377	1115	1834
378	1117	1831
379	1119	1826
380	1121	1822
381	1124	1818
382	1127	1816
383	1130	1813
384	1132	1809
385	1135	1805
386	1137	1801
387	1139	1798
388	1143	1795
389	1145	1792
390	1148	1788
391	1150	1784
392	1152	1780
393	1155	1776
394	1157	1772
395	1160	1770
396	1162	1766
397	1165	1762
398	1167	1758
399	1169	1754
400	1172	1751
401	1175	1748
402	1178	1745
403	1180	1742
404	1183	1738
405	1185	1734
406	1187	1730
407	1191	1728
408	1194	1725
409	1197	1722
410	1199	1719
411	1202	1715
412	1204	1712
413	1208	1710
414	1210	1706
415	1213	1702
416	1215	1699
417	1217	1695
418	1220	1691
419	1223	1689
420	1226	1687
421	1229	1684
422	1231	1680
423	1234	1676
424	1236	1673
425	1240	1671
426	1242	1667
427	1245	1664
428	1248	1661
429	1250	1657
430	1253	1655
431	1257	1653
432	1260	1650
433	1262	1646
434	1265	1643
435	1267	1640
436	1270	1637
437	1274	1635
438	1277	1631
439	1279	1628
440	1281	1624
441	1284	1621
442	1287	1619
443	1290	1615
444	1292	1612
445	1295	1608
446	1297	1605
447	1299	1601
448	1302	1598
449	1305	1595
450	1308	1593
451	1311	1589
452	1313	1586
453	1315	1582
454	1318	1579
455	1322	1577
456	1324	1573
457	1327	1570
458	1329	1567
459	1332	1564
