iter	RMSE
0	1633.796293
1	1554.172185
2	1487.612491
3	1432.256733
4	1380.627658
5	1337.04771
6	1298.319853
7	1267.561803
8	1241.608575
9	1218.586488
10	1199.697208
11	1182.612075
12	1168.40779
13	1156.950938
14	1145.309737
15	1138.00565
16	1130.172991
17	1124.575652
18	1118.893883
19	1113.240004
20	1109.067659
21	1106.662104
22	1103.216452
23	1100.901128
24	1098.75869
25	1097.14695
26	1095.909059
27	1094.456207
28	1092.931468
29	1091.853747
30	1091.1832
31	1090.039223
32	1089.485418
33	1088.715275
34	1087.960457
35	1087.01784
36	1086.261078
37	1085.698893
38	1085.153484
39	1084.737521
40	1084.339762
41	1083.798755
42	1083.228618
43	1082.735788
44	1082.237752
45	1081.818552
46	1081.340734
47	1080.997412
48	1080.36276
49	1080.044504
