iter	Passed	Remaining
0	155	7632
1	164	3938
2	172	2710
3	180	2080
4	186	1675
5	191	1401
6	196	1204
7	200	1054
8	205	938
9	211	845
10	216	768
11	221	702
12	226	645
13	231	596
14	237	553
15	241	514
16	246	479
17	251	446
18	255	416
19	258	388
20	262	363
21	266	339
22	270	317
23	274	296
24	277	277
25	281	259
26	285	243
27	289	227
28	293	212
29	297	198
30	300	184
31	304	171
32	308	158
33	312	146
34	315	135
35	319	124
36	323	113
37	326	103
38	330	93
39	334	83
40	338	74
41	341	65
42	346	56
43	350	47
44	354	39
45	358	31
46	362	23
47	365	15
48	369	7
49	373	0
